,jobTitle,skill1,skill2,skill3,skill4,skill5,skill6,jobDescription,Activity,Activite1,Activite2,Activite3,Activite4,Activite5,Activite6,Activite7,Activite8,Activite9,Activite10,skills
65, Aviation Database administrator,Amazon Web Services (AWS),Analytical Skills,DevOps,Oracle Database,ICAO,Aviation,"- Installing and upgrading the Oracle Database server and application tools

- Allocating system storage and planning future storage requirements for the database system

- Creating primary database storage structures (tablespaces) after application developers have designed an application

- Creating primary objects (tables, views, indexes) once application developers have designed an application

- Modifying the database structure, as necessary, from information given by application developers
- using Ground Damage Database (GDDB) to collect information that helps the industry to understand trends and performance and identify risks by their frequency and seriousness.","['- Installing and upgrading the Oracle Database server and application tools', '', '- Allocating system storage and planning future storage requirements for the database system', '', '- Creating primary database storage structures (tablespaces) after application developers have designed an application', '', '- Creating primary objects (tables, views, indexes) once application developers have designed an application', '', '- Modifying the database structure, as necessary, from information given by application developers', '- using Ground Damage Database (GDDB) to collect information that helps the industry to understand trends and performance and identify risks by their frequency and seriousness.']",- Installing and upgrading the Oracle Database server and application tools,,- Allocating system storage and planning future storage requirements for the database system,,- Creating primary database storage structures (tablespaces) after application developers have designed an application,,"- Creating primary objects (tables, views, indexes) once application developers have designed an application",,"- Modifying the database structure, as necessary, from information given by application developers",- using Ground Damage Database (GDDB) to collect information that helps the industry to understand trends and performance and identify risks by their frequency and seriousness.,"['Amazon Web Services (AWS)', 'Analytical Skills', 'DevOps', 'Oracle Database', 'ICAO', 'Aviation']"
66,Data Analyst ,Analytical skills,Investigator's brochure (BI),Iaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,Big data,Deep learning,Data mining,Automatic processing of CVs and profiles with Big Data (cv library),['Automatic processing of CVs and profiles with Big Data (cv library)'],Automatic processing of CVs and profiles with Big Data (cv library),,,,,,,,,,"['Analytical skills', ""Investigator's brochure (BI)"", 'Iaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa', 'Big data', 'Deep learning', 'Data mining']"
67,Trainee,Unified Modeling Language (UML),GitLab,DevOps,Docker products,Prometheus.io,Kubernetes,"-Deploy applications using (Docker and HelmChart and Ubuntu)
-Open pods with kubernets
- use gitlab to ensure continuous integration
- use of ArgoCD to ensure continuous delivery","['-Deploy applications using (Docker and HelmChart and Ubuntu)', '-Open pods with kubernets', '- use gitlab to ensure continuous integration', '- use of ArgoCD to ensure continuous delivery']",-Deploy applications using (Docker and HelmChart and Ubuntu),-Open pods with kubernets,- use gitlab to ensure continuous integration,- use of ArgoCD to ensure continuous delivery,,,,,,,"['Unified Modeling Language (UML)', 'GitLab', 'DevOps', 'Docker products', 'Prometheus.io', 'Kubernetes']"
68,Cloud Engineer,Amazon Web Services,JavaScript,Python,MySQL,php,Symfony,unknown,['unknown'],unknown,,,,,,,,,,"['Amazon Web Services', 'JavaScript', 'Python', 'MySQL', 'php', 'Symfony']"
69,DevOps Engineer,Cloud Development,Kubernetes,DevOps,Ansible,Azure DevOps,Java,unknown,['unknown'],unknown,,,,,,,,,,"['Cloud Development', 'Kubernetes', 'DevOps', 'Ansible', 'Azure DevOps', 'Java']"
70,Cloud & DevOps Engineer,Microsoft Azure,Linux,Helm,Azure Kubernetes Service (AKS),Azure DevOps,Git,"Project:
- Talenteo is a Cloud Native HRIS solution which covers all the management processes of an HRM: recruitments, trainings, missions, editing and sending summaries, co-optations, monitoring and evaluation of consultants. The platform is developed with Angular on the Front-End and Spring Boot on the Back End.

Goal:
- Automate CI/CD chains to deploy a Cloud Native HRIS Called solution ""Talenteo"" on a Kubernetes Cluster managed by Microsoft Azure (AKS) using Azure DevOps.

Tasks:
* Configure a pipeline to supply an Azure infrastructure using Terraform (Cluster AKS, Blob Storage, Azure Container Registry, Vnet and Subnets).
* Setting up three namesspaces on AKS (Dev, Int, Prod).
* Deploy PostgreSQL in Statefulset on AKS using Helm and configure database schemas and users.
* Dockerize the Back-End micro-services (Spring Boot) with Jib and use a dockerfile to contain the Front-End part (Angular 9).
* use Helm to make dynamic Kubernetes resources declarations (Ingress, Deployments, Services, Secrets, TLS certificate) by injecting inside the concerned values from a separated files entitled values.yml. Each intended environment such as Dev, Int or Prod has its own values.
* Implementation automated CI/CD pipelines for each microservice and the Front-End part (from GitLab --> Azure DevOps pipelines Build --> Azure DevOps pipelines Release --> AKS).
* Ensure own cost management on Azure (Kubecost).
* Create Pull Requests for major changes done on existing files in GitLab reste (git).

Technical environment:
- Ubuntu 20.04 LTS (Focal Fossa), Terraform (v0.12), Azure Cli, Kubernetes (v1.19.11), K9s, Helm (v3), Docker, Jib, Azure Portal, Azure DevOps, Azure Artifacts, maven, SonarQube, JaCoCo, Intellij IDE, VS Code, git, GitLab, AKS, Slack, Jira.","['Project:', '- Talenteo is a Cloud Native HRIS solution which covers all the management processes of an HRM: recruitments, trainings, missions, editing and sending summaries, co-optations, monitoring and evaluation of consultants. The platform is developed with Angular on the Front-End and Spring Boot on the Back End.', '', 'Goal:', '- Automate CI/CD chains to deploy a Cloud Native HRIS Called solution ""Talenteo"" on a Kubernetes Cluster managed by Microsoft Azure (AKS) using Azure DevOps.', '', 'Tasks:', '* Configure a pipeline to supply an Azure infrastructure using Terraform (Cluster AKS, Blob Storage, Azure Container Registry, Vnet and Subnets).', '* Setting up three namesspaces on AKS (Dev, Int, Prod).', '* Deploy PostgreSQL in Statefulset on AKS using Helm and configure database schemas and users.', '* Dockerize the Back-End micro-services (Spring Boot) with Jib and use a dockerfile to contain the Front-End part (Angular 9).', '* use Helm to make dynamic Kubernetes resources declarations (Ingress, Deployments, Services, Secrets, TLS certificate) by injecting inside the concerned values from a separated files entitled values.yml. Each intended environment such as Dev, Int or Prod has its own values.', '* Implementation automated CI/CD pipelines for each microservice and the Front-End part (from GitLab --> Azure DevOps pipelines Build --> Azure DevOps pipelines Release --> AKS).', '* Ensure own cost management on Azure (Kubecost).', '* Create Pull Requests for major changes done on existing files in GitLab reste (git).', '', 'Technical environment:', '- Ubuntu 20.04 LTS (Focal Fossa), Terraform (v0.12), Azure Cli, Kubernetes (v1.19.11), K9s, Helm (v3), Docker, Jib, Azure Portal, Azure DevOps, Azure Artifacts, maven, SonarQube, JaCoCo, Intellij IDE, VS Code, git, GitLab, AKS, Slack, Jira.']",Project:,"- Talenteo is a Cloud Native HRIS solution which covers all the management processes of an HRM: recruitments, trainings, missions, editing and sending summaries, co-optations, monitoring and evaluation of consultants. The platform is developed with Angular on the Front-End and Spring Boot on the Back End.",,Goal:,"- Automate CI/CD chains to deploy a Cloud Native HRIS Called solution ""Talenteo"" on a Kubernetes Cluster managed by Microsoft Azure (AKS) using Azure DevOps.",,Tasks:,"* Configure a pipeline to supply an Azure infrastructure using Terraform (Cluster AKS, Blob Storage, Azure Container Registry, Vnet and Subnets).","* Setting up three namesspaces on AKS (Dev, Int, Prod).",* Deploy PostgreSQL in Statefulset on AKS using Helm and configure database schemas and users.,"['Microsoft Azure', 'Linux', 'Helm', 'Azure Kubernetes Service (AKS)', 'Azure DevOps', 'Git']"
71,IT Support Specialist,unknown,unknown,unknown,unknown,unknown,unknown,unknown,['unknown'],unknown,,,,,,,,,,"['unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']"
72,Cloud & DevOps Engineer,kubernets,Project management,Git,Microsoft Azure,Docker,AKS,unknown,['unknown'],unknown,,,,,,,,,,"['kubernets', 'Project management', 'Git', 'Microsoft Azure', 'Docker', 'AKS']"
73,System and Backup Ingineer,Talking in public,Social networks,Customer service,Teamwork,Network Administration,Cloud Computing,unknown,['unknown'],unknown,,,,,,,,,,"['Talking in public', 'Social networks', 'Customer service', 'Teamwork', 'Network Administration', 'Cloud Computing']"
74,Cloud Support Engineer,System Administration,Amazon Web Services (AWS),Kubernetes,Software Development,Shell Scripting,C++,unknown,['unknown'],unknown,,,,,,,,,,"['System Administration', 'Amazon Web Services (AWS)', 'Kubernetes', 'Software Development', 'Shell Scripting', 'C++']"
75,DevOps Engineer,Elastic Stack (ELK),Dynatrace,Prometheus.io,Grafana,Linux,Jenkins,"Build secure and automated high-performance computing infrastructure solutions using Ansible, Terraform and K8s.
Establishment a CI/CD roadmap and implementing it on the project with Jenkins using Distributed buildings. 
Monitor, analytics, and report performance statistics on kubernets cluster using Dynatrace and Prometheus.
Experience with Software quality tools (Sonarqube).","['Build secure and automated high-performance computing infrastructure solutions using Ansible, Terraform and K8s.', 'Establishment a CI/CD roadmap and implementing it on the project with Jenkins using Distributed buildings. ', 'Monitor, analytics, and report performance statistics on kubernets cluster using Dynatrace and Prometheus.', 'Experience with Software quality tools (Sonarqube).']","Build secure and automated high-performance computing infrastructure solutions using Ansible, Terraform and K8s.",Establishment a CI/CD roadmap and implementing it on the project with Jenkins using Distributed buildings. ,"Monitor, analytics, and report performance statistics on kubernets cluster using Dynatrace and Prometheus.",Experience with Software quality tools (Sonarqube).,,,,,,,"['Elastic Stack (ELK)', 'Dynatrace', 'Prometheus.io', 'Grafana', 'Linux', 'Jenkins']"
76,Cloud Engineer,Amazon Web Services (AWS),Google Cloud Platform (GCP),System Administration,Cloud Computing,Infrastructure,Linux,unknown,['unknown'],unknown,,,,,,,,,,"['Amazon Web Services (AWS)', 'Google Cloud Platform (GCP)', 'System Administration', 'Cloud Computing', 'Infrastructure', 'Linux']"
77,SysOps Cloud Engineer,Amazon Web Services (AWS),Ansible,Terraform,OpenStack,Cloud Computing,Python (Programming Language),unknown,['unknown'],unknown,,,,,,,,,,"['Amazon Web Services (AWS)', 'Ansible', 'Terraform', 'OpenStack', 'Cloud Computing', 'Python (Programming Language)']"
78,Devops Engineer,React.js,Bitbucket,Node.js,Sonarqube,Jenkins,Docker products,Skills: Docker Products · Amazon Web Services · Git · Pipelines,['Skills: Docker Products · Amazon Web Services · Git · Pipelines'],Skills: Docker Products · Amazon Web Services · Git · Pipelines,,,,,,,,,,"['React.js', 'Bitbucket', 'Node.js', 'Sonarqube', 'Jenkins', 'Docker products']"
79,Cyber Security Engineer,Information Security,Network Engineering,Fortinet,Networking,Cybersecurity,Linux,Skills: Information Security · Network Engineering · Fortinet · Networking,['Skills: Information Security · Network Engineering · Fortinet · Networking'],Skills: Information Security · Network Engineering · Fortinet · Networking,,,,,,,,,,"['Information Security', 'Network Engineering', 'Fortinet', 'Networking', 'Cybersecurity', 'Linux']"
80,DevOps Engineer,Linux,C++,UML,C,Java,MySQL,"• Ensure the steps of the CI/CD pipeline: Github, Jenkins, Docker, Sonarqube Kubernets, GCP
• System support: Linux, Tomcat/Jboss, Apache, Nginx, Mysql, Postgresql, MongoDB
• Train, advise and assist users
• Ensure the preventive and curative maintenance of infra-clients on a regular basis
• Install, upgrade and upgrade hardware and software components of computer systems
• Administer and maintain the network and its services,
• Ensuring the reliability and security of the entire system, monitoring of the local network,","['• Ensure the steps of the CI/CD pipeline: Github, Jenkins, Docker, Sonarqube Kubernets, GCP', '• System support: Linux, Tomcat/Jboss, Apache, Nginx, Mysql, Postgresql, MongoDB', '• Train, advise and assist users', '• Ensure the preventive and curative maintenance of infra-clients on a regular basis', '• Install, upgrade and upgrade hardware and software components of computer systems', '• Administer and maintain the network and its services,', '• Ensuring the reliability and security of the entire system, monitoring of the local network,']","• Ensure the steps of the CI/CD pipeline: Github, Jenkins, Docker, Sonarqube Kubernets, GCP","• System support: Linux, Tomcat/Jboss, Apache, Nginx, Mysql, Postgresql, MongoDB","• Train, advise and assist users",• Ensure the preventive and curative maintenance of infra-clients on a regular basis,"• Install, upgrade and upgrade hardware and software components of computer systems","• Administer and maintain the network and its services,","• Ensuring the reliability and security of the entire system, monitoring of the local network,",,,,"['Linux', 'C++', 'UML', 'C', 'Java', 'MySQL']"
