,jobTitle,skill1,skill2,skill3,skill4,skill5,skill6,jobDescription,headline,jobTitle2,jobDescription2,currentJob,pastJob,job
57,DevOps Engineer,Elastic Stack (ELK),Dynatrace,Prometheus.io,Grafana,Linux,Jenkins,"Build secure and automated high-performance computing infrastructure solutions using Ansible, Terraform and K8s.
Establishment a CI/CD roadmap and implementing it on the project with Jenkins using Distributed buildings. 
Monitor, analytics, and report performance statistics on kubernets cluster using Dynatrace and Prometheus.
Experience with Software quality tools (Sonarqube).",DevOps engineer,DevOps,"- Configured ELK to monitor and supervise virtual machines.
- Configured ELK to monitor and supervise a Fortinet Firewall on a virtual network in EVE-NG, using artificial intelligence and machine learning job",unckown,unckown,unckown
58,Cloud Engineer,Amazon Web Services (AWS),Google Cloud Platform (GCP),System Administration,Cloud Computing,Infrastructure,Linux,unckown,Cloud Engineer at Econocom,Cloud Operations Engineer ,"- Installation, configuration, administration and maintenance of web services including Linux
operating systems, networks, Amazon Web Services and Open Source technologies.
- Production architectures design, deployment strategies definition and planning, ORT and
DR testing with a focus on preventing problems and downtime before they occupy.
- Data backup, replication and resounding policies automation.
- Infrastructure and services monitoring and logging setup and customization.
- Performance review of service and infrastructure SLAs.
- Strengthening of cloud security best practices: centralized user management, access
policies, system security patches, OS upgrades, SSL certificates renewal.
- Full support for a multi-tenant provisioning service: deployment automation, bottleneck
identification and removal, performance improvement, hosting cost optimization, migration
from EC2 Classic to VPC, connections management and balancing, multi cloud extension.
- Cloud hosting budget tracking, cost control best practices implementation, business care
justifications and cost/benefit analyses for infrastructure level improvements and initiatives.
- Backup, Security, Monitoring and customer data audit.
- 24x7 support for the production cloud infrastructure hosted on AWS and GCP.",unckown,unckown,unckown
59,SysOps Cloud Engineer,Amazon Web Services (AWS),Ansible,Terraform,OpenStack,Cloud Computing,Python (Programming Language),unckown,Cloud DevOps Engineer,Cloud/DevOps Consultant ,unckown,unckown,unckown,unckown
60,Devops Engineer,React.js,Bitbucket,Node.js,Sonarqube,Jenkins,Docker products,Skills: Docker Products · Amazon Web Services · Git · Pipelines," Devops Engineer的 IT architecture and cloud computing student, cloud enthusiast",DevOps engineering Intern,unckown,unckown,unckown,unckown
61,Cyber Security Engineer,Information Security,Network Engineering,Fortinet,Networking,Cybersecurity,Linux,Skills: Information Security · Network Engineering · Fortinet · Networking,Network Security Engineer,Cyber Security Internal,"-Use kali tools to do penetration testing on metasploitable
-Using Splunk to analytics log files in order to detect cyber-attacks. 
-Apply threats modelling on company servers with IriusRsik",unckown,unckown,unckown
62,DevOps Engineer,Linux,C++,UML,C,Java,MySQL,"• Ensure the steps of the CI/CD pipeline: Github, Jenkins, Docker, Sonarqube Kubernets, GCP
• System support: Linux, Tomcat/Jboss, Apache, Nginx, Mysql, Postgresql, MongoDB
• Train, advise and assist users
• Ensure the preventive and curative maintenance of infra-clients on a regular basis
• Install, upgrade and upgrade hardware and software components of computer systems
• Administer and maintain the network and its services,
• Ensuring the reliability and security of the entire system, monitoring of the local network,",Cloud computing and DevOps engineer,DevOps Engineer,"Setting up a CI/CD pipeline to deliver a claim management solution: Installation, configuration and customization of the Open Source solution ""OTRS"" and then migration to ""iTop"" 

Technical Environment: 
SCM: Git/GOGS
Containerization: Docker
CI/CD: Jenkins
Orchestration : Kubernetes
Monitoring : Prometheus,Grafana
Centos 7 / Perl / Apache / Mysql",unckown,unckown,unckown
63,Software Engineer,Airbyte,"Extract, Transform, Load (ETL)",MySQL,Flask,Go,Docker,"-Deploy, improvise, monitor and maintain data services for a SaaS application
-Configure, create and maintain data pipelines for multiple sources (Shopify, Klaviyo, Facebook, Google ads...)
- Google Cloud Management Platform Data services (Bigquery, PubSub)
-Develop and improve APIs
-Code review",Software engineer @quanticfactory.io,Software Engineer,Skills: MySQL · Go (Programming Language) · Google Cloud Platform (GCP) · MetaBase · Google BigQuery · SQL,unckown,unckown,unckown
64,Application Developer,Angular,C#,JavaScript,docker,ASP.NET,css,Skills: Angular · C#,Software engineer,Associate Application Developer,unckown,unckown,unckown,unckown
65,Cloud Engineer,Business Intelligence (BI),RESTful WebServices,Maven,JSON,Hibernate,Jenkins,"• Deployment of web application (angular,springboot) with google kubernets engine using google datastore as database 
• Facilitating migration of kubernets from docker to k8s using services,pods and deployments
• Performed Branching, Tagging, Release Activities on Version Control Tools: BitBucket, git",Data Engineer - Cloud Enthusiast,Data Engineer,"• Manage employees' working hours while working in different countries with different holidays 
• Send emails automatically to employees via Python and Power automata
•Identified and recommended process improvements that decreased expenses by
35% over a year
•Applied quantitative analysis and data visualization to deliver captivating presentations
•Developed ETL process to load the existing data to store it for the business process
•Aggregated data to model finance and operations, communicating
reports, insights, and recommendations to 3 departments",unckown,unckown,unckown
66,Senior Cloud/DevOps Engineer,Git,Agile,Jenkins,Jira,Docker,AWS,unckown,Senior Cloud/DevOps Engineer,Senior Cloud/DevOps Engineer,unckown,unckown,unckown,unckown
67,Student Intern,Cloud Computing,Engineering,unckown,unckown,unckown,unckown,Skills: Engineering,Cloud & DevOps Engineer,IT Manager,unckown,unckown,unckown,unckown
68,DevOps Engineer,Network Administration,Network Security,java,Telecommunications,Linux,Networking,unckown,DevOps/cloud engineer,DevOps intern,unckown,unckown,unckown,unckown
69,End of Studies Internship,Continuous Delivery,Git,Bitbucket,Ansible Tower,Hybrid Cloud management Micro Focus,Engineering,Skills: Continuous Delivery · Git · Bitbucket · Ansible Tower · Hybrid Cloud management Micro Focus,Cloud Computing Engineer,Software Engineer Internship,Skills: Continuous Delivery · Git,unckown,unckown,unckown
70,Cloud and Applications Support Engineer,Windows Server,Linux System Administration,Informatica PowerCenter,Red Hat Linux,Git Bash,GitLab,unckown,Cloud and Applications Support Engineer,Network Operations Center Supervisor,unckown,unckown,unckown,unckown
71,Test Automation Engineer,PHP,Java,JavaScript,pytest,X-ray,Pytest,unckown,QA automation engineer,QA Automation Engineer,unckown,unckown,unckown,unckown
72,PFE Stagaire,Linux System Administration,GitLab,Pipelines,DevSecOps,Sonarqube,Continuous Integration and Continuous Delivery (CI/CD),unckown,Infra cloud & Devops Engineer ,Summer intern,Set up a CI/CD string with GitLab,unckown,unckown,unckown
73,End of study project internship,Django REST Framework,Postman API,Web Services API,JSON Web Token (JWT),Azure Kusto,Cloud Computing,"Subject: Implementation of a decision-making solution for cost optimization on the cloud azure

Work Done:
* Study of the existing, collection of needs of the workforce of the company.
* Study of Azure Cloud APP concepts.
* Identify the main functional and non-functional needs of my project
* Identification of cost optimization axes on Microsoft Azure.
* Configuration of the Azure active directory.
* Collection of azure resources related to optimization axes.
* Search for (mathematical) optimization formulas.
* Visualization of inventories of resources collected on the web interface.
* Application of optimization formulas on the web interface.
*Added recommendations.
* Generalization of several subscriptions.
* Testing and improvement of the proposed solution.
* PROD implementation of the solution at VERMEG.

TECHNOLOGY: Microsoft Azure, Azure APIs, HTML, CSS, Bootstrap, Django Framework,Python, Bash,PowerShell, Json Template, Virtual Machine.",IT Architect & Cloud Computing Engineer,Student Internship,"Subject: Development of a monitoring/dashbordering solution for Azure VMs via AZURE Log Analytics workspaces.

Work Done:
* Study of the existing situation, collection of the needs of the company's workforce.
* Study of Azure Cloud concepts.
* Identify the main functional and non-functional needs of my project.
* Creation of a POC.
* Creation of the working environment on Azure.
* Creation and connection of VMs with Azure Log Analytics Workspaces.
* Creation of KQL queries.
* Creation of the monitoring dashboard.
* Implementation of the monitoring dashboard.

TECHNOLOGY: Microsoft Azure, JSON Template, Azure Monitor, Log Analytics workspaces, Virtual Machine.",unckown,unckown,unckown
74,DevOps Engineer,unckown,unckown,unckown,unckown,unckown,unckown,"-Create and configure Developments Kubernetes infrastructures based on MiniKube and nginx controller.
-Create and configure Azure Kubernetes services (AKS) 
-Automate deploying projects in Kubernetes infrastructure using pipelines 
-Configure and manage servers ( Nginx, Php, Php-Fpm, Varnish.....) 
-Monitor production waiters 
-Performance testing 
-Manage Backups of development and production servers 
-Setup and maintaining users account and users Access on different development platform
Technologies used : Azure, Kubernetes, Docker, Ansible, Bamboo, Bitbucket, Grafana, JMeter, Zabbix,Microsoft activedirectory, Bash scripting",Cloud Devops ,DevOps,"Create a Kubernetes Platform based on Azure DevOps using services: MySQL / PHP-FPM / Nginx / Varnish /WordPress.
-Creates and buildings docker image
-Deploy kubernets infrastructure on azure
-Automating the infrastructure
-Provide monitoring and alert management
-Auto-Scaling care
-Ensure CI/CD using Git-Action
Technologies to use Docker, Kubernetes, Ansible, Grafana, Prometheus, Alert manager, and GitHu",unckown,unckown,unckown
75,Trainee,angular,Framework Spring,docker,Unix,Linux System Administration,Kubernetes,unckown,Software Engineer Internal @wevioo的 Cloud Computing Engineering Student,Trainee,conecption of a storage configuration management system -NEO4J,unckown,unckown,unckown
76,Cloud operations engineer,Kubernetes,Docker,Terraform,Scrum,Virtualization,Ansible,unckown,Cloud operations engineer,Cloud platform engineer,unckown,unckown,unckown,unckown
77,DevOps-AWS Engineer,Microsoft Excel,Linux,Red Hat Linux,Amazon Web Services,Python,Visual Studio,unckown,"AWS/DevOps/Cloud Engineer
",Cloud Engineer AWS / FullStack,"● Need-setting and analysis of the existing
● Study and design of functional architecture 
● Preparation of technical and functional documentation
● Creation and automation of the deployment of Serverless architectures via Terraform and provisioning of various Lambda, IoT core, DynamoDB Single Table and API Gateway services (internships, deployments, integration...)
● Organization of the project structure according to the Atomic Design conceptual model.
● Automation of the build process.
● Continuous deployment via GitlabCi pipelines in a test environment (AWS S3).
",unckown,unckown,unckown
78,Devops engineer ,ASP.NET,Azure SQL,ACR,docker,Gitlab,Kubernetes,"Development and automation project
• Development an e-learning application.
• Containerize the application.
• Deploy application and DB to Azure.
• Automate CI/CD tasks with Jenkins and Azure Pipelines.
• Automatic configuration with ansible.
• Tech :.Net, GitLab, Docke, Azure, Ansible, and Kubernetes.",DevOps & Cloud Engineer,Graduation Internship,"SETTING UP TO DEVOPS ORGANIZATION
Containerize the application.
Managing the application with Azure Kubernetes Service (AKS)
Automate CI/CD tasks (Integration and Continuous Deployment).
Monitor the containers.
Tech: Docker, AKS, Azure devops, Prometheus, Grafana.",unckown,unckown,unckown
79,DevOps Consultant,Grafana,Prometheus.io,Docker Products,Kubernetes,Jenkins,Linux,unckown,Cloud/DevOps engineer,DevOps Engineer,"modernize the development lifecycle of a pilot application using OpenSource automation tools, containment, orchestration, and ultimately the monitoring.
Technology:
Linux, Jenkins (CI/CD), Docker, Kubernetes, Git, Grafana, Prometheus, Loki.",unckown,unckown,unckown
